id_mo;offshoot
104830;300780
104850;300760
104850;300970
108250;300790
604101;100700
609180;109180
650701;150700
150550;350011
300010;300060
300233;300240
300291;300300
300430;300470
300500;300060
300500;300480
300500;300490
300500;300501
300510;300060
300510;300480
300510;300490
300600;300601
103680;403680
104830;404850
104850;400290
104850;404850
106850;404850
108240;408240
109180;409180
109850;409850
114502;414502
150550;450551
150550;450552
170150;470150
190990;490990
400490;300491
400640;300640
400780;300780
490980;390980
