id_mu;mu_title
99;nicht vorhanden
3001;Österreichischer Rundfunk
3002;ATV Privat TV GmbH. & Co. KG
3003;A. Digital Errichtungs- und Beteiligungs GmbH
3004;ProSieben Sat.1 PULS 4 GmbH
3005;PULS 4 TV GmbH & Co KG
3006;IP Österreich GmbH.
3007;schau media Wien Ges.m.b.H
3008;Red Bull Media House GmbH
3009;gotv Fernseh GmbH.
3010;OKTO Community TV-GmbH
3011;Austria 9 TV GmbH
3012;Austria 9 TV GmbH. Rosenhügel Filmstudios
3013;Salzburg TV Fernsehgesellschaft mbH.
3014;PULS 4 GmbH. & Co. KG
3015;SevenOneMedia Austria GmbH.
3016;Das Burgenland Fernsehen GmbH
3017;Servus TV - Red Bull Media House GmbH.
3018;IPA-plus (Österreich), Vermittlung für Fernsehwerbung GmbH.
3019;ATV Privat-TV Services AG
3020;Puls 4 TV @ MQ
3021;Burgenländisches Kabelfernsehen GmbH.
3022;CineCom & Media. GmbH.
3023;MGA MediaGruppe Werbeforschung und vermarktung Ges. mbH.
3024;Salzburg Plus Television GmbH
3025;Krone Multimedia GmbH & Co KG
3026;Community TV GmbH
3027;Media Quarter Marx 3.3
1001;STANDARD Verlagsgesellschaft m.b.H.
1002;"""Die Presse"" Verlags-Gesellschaft m.b.H & Co KG"
1003;Kleine Zeitung GmbH & Co KG
1004;KRONE-Verlag GmbH. & Co. KG
1005;Kurier-Zeitungsverlag und Druckerei GmbH
1006;Neue Zeitungs GmbH
1007;OÖ. Media Data Vertriebs- und Verlags GmbH
1008;OÖN Redaktion GmbH & Co KG
1009;"Mediengruppe ""Österreich"" GmbH"
1010;Salzburger Nachrichten Verlagsgesellschaft m.b.H. & Co KG
1011;Schlüsselverlag J. S. Moser
1012;Russmedia Verlag GmbH
1013;Wiener Zeitung GmbH
1014;AHVV Verlags GmbH
1015;OÖN Wimmer Medien GmbH & Co. KG
1016;Schlüsselverlag J. S. Moser GmbH
1017;Wirtschaftsblatt Medien GmbH
1018;Kärtner Tageszeitung GmbH
1019;Salzburger Volkszeitung GmbH & Co. KG
1020;Zeitungs- und Verlagsgesellschaft mbH
1021;Eugen Russ Vorarlberger Zeitungsverlag und Druckerei GmbH
1022;Wirtschaftsblatt Verlag AG
1023;Kärtner Druck- und Verlags GmbH
1024;Salzburger Volkszeitung GmbH
1025;"""Österreich"" - Zeitungsverlag GmbH"
1026;NZ Zeitungs- und Zeitschriften-Verlagsges. mbH & Co. KG
1027;Österreichische Zeitungs-, Verlags- und Vertriebsges. mbH
1028;Die Presse Verlagsgesellschaft mbH
1029;Österreichische Volkspartei
1030;Vereinigte Familiapress Zeitungsverlags Ges. mbH
1031;Russmedia Digital GmbH
1032;Culinarius Digital GmbH
1033;E.P.I.K. Media GmbH
1034;Falstaff Verlags-GmbH
1035;Falter Verlagsgesellschaft m.b.H.
1036;finanzen.net GmbH
1037;FONDS professionell Multimedia GmbH
1038;1&1 Mail & Media GmbH
1039;FUNKE National Brands Digital GmbH
1040;WEKA Industrie Medien GmbH
1041;Twist Zeitschriften Verlag GmbH
1042;KRONEHIT Radio BetriebsgmbH
1043;NetDoktor GmbH
1044;VGN Digital GmbH
1045;Niederösterreichisches Pressehaus Druck- und Verlagsgesellschaft m.b.H.
1046;oe24 GmbH
1047;Österreichischer Fußball-Bund
1048;OÖ. Online GmbH & Co.KG.
1049;Österreichischer Rundfunk, Stiftung öffentlichen Rechts
1050;Rolling Pin Media GmbH 
1051;RTL interactive GmbH
1052;G+J Medien GmbH
1053;SALZBURG24 GmbH
1054;Salzburger Nachrichten Medien GmbH & Co. KG
1055;ichkoche Medien GmbH
1056;Ligaportal GmbH
1057;Life Style Projekt GmbH
1058;Red Bull Media House GmbH
1059;Red Bulletin Schweiz AG
1060;Sky Österreich Fernsehen GmbH
1061;Sportradar Media Services GmbH
1062;Springer-Verlag GmbH
1063;ProSiebenSat.1 PULS 4 GmbH
1064;Seven.One Entertainment Group GmbH
1065;Molindo GmbH
1066;wetter.com GmbH
1067;Tips Zeitungs GmbH & Co KG
1068;k-digital Medien GmbH & Co KG
1069;Profil Redaktion GmbH
1070;UBIMET GmbH
1071;WUNDERWERK Digitale Medienproduktion GmbH
1072;RMA Marketing Services GmbH
1073;Burgenländische Volkszeitung GmbH
1074;Krone Multimedia GmbH & Co. KG
1075;tele - Zeitschriftenverlagsges.mbH & Co KG
1076;missMEDIA GmbH
1077;A1 Telekom Austria AG
1078;Österreichischer Wirtschaftsverlag GmbH
1079;Weiss & Lameraner Media Group GmbH
1080;PP Sport Management GmbH
1081;web eXXpress Medien Holding GmbH
1082;INFO-TECHNO Baudatenbank GmbH
1083;VICE Media GmbH
1084;Transfermarkt GmbH & Co. KG
1085;Österreichische Post Aktiengesellschaf
1086;HEIM:SPIEL Medien GmbH & Co. KG
1087;Fanreport Media Holding GmbH
1088;Offerista Group Austria GmbH
