id_mo;year;id_mu;circulation;circulation_source;uniqueusers;uniqueusers_source;reach_nat;reach_nat_source;reach_reg;reach_reg_source;market_share;market_share_source;comments;mo_year
300012;1980-12-01;3001;99;99;99;99;63.5;2080;99;99;99;99;KA;3000121980
300012;1983-12-01;3001;99;99;99;99;61;2083;99;99;99;99;KA;3000121983
300012;1985-12-01;3001;99;99;99;99;58.6;2085;99;99;99;99;KA;3000121985
300012;1990-12-01;3001;99;99;99;99;54.7;2090;99;99;99;99;KA;3000121990
300013;1992-12-01;3001;99;99;99;99;52;2092;99;99;99;99;KA;3000131992
300013;1993-12-01;3001;99;99;99;99;45.8;2093;99;99;36;1008;KA;3000131993
300013;1994-12-01;3001;99;99;99;99;43.3;2094;99;99;32;1008;KA;3000131994
300013;1995-12-01;3001;99;99;99;99;39.7;2095;99;99;27;1008;KA;3000131995
300013;1996-12-01;3001;99;99;99;99;38.2;2096;99;99;25;1008;KA;3000131996
300013;1997-12-01;3001;99;99;99;99;34.7;2097;99;99;34;1008;KA;3000131997
300013;1998-12-01;3001;99;99;99;99;36.1;2098;99;99;26;1008;KA;3000131998
300013;1999-12-01;3001;99;99;99;99;34.1;2099;99;99;24;1008;KA;3000131999
300013;2000-12-01;3001;99;99;99;99;32.7;2000;99;99;24;1020;KA;3000132000
300013;2001-12-01;3001;99;99;99;99;42.8;1004;99;99;23;1011;KA;3000132001
300013;2002-12-01;3001;99;99;99;99;44.1;1004;99;99;22;1011;KA;3000132002
300013;2003-12-01;3001;99;99;99;99;43.3;1004;99;99;22;1011;KA;3000132003
300013;2004-12-01;3001;99;99;99;99;43.6;1004;99;99;22;1011;KA;3000132004
300013;2005-12-01;3001;99;99;99;99;41.5;2005;99;99;20;1020;KA;3000132005
300013;2006-12-01;3001;99;99;99;99;39.7;1016;99;99;20;1016;KA;3000132006
300013;2007-12-01;3001;99;99;99;99;34.6;2007;99;99;18;1018;KA;3000132007
300013;2008-12-01;3001;99;99;99;99;32.7;2008;99;99;17;1019;KA;3000132008
300013;2009-12-01;3001;99;99;99;99;30.4;1019;99;99;15;1019;KA;3000132009
300013;2010-12-01;3001;99;99;99;99;31.3;1020;99;99;15;1020;KA;3000132010
300013;2011-12-01;3001;99;99;99;99;31;1020;99;99;14;1020;KA;3000132011
300013;2012-12-01;3001;99;99;99;99;30.9;1020;99;99;14;1020;KA;3000132012
300013;2013-12-01;3001;99;99;99;99;28;1020;99;99;12;1020;KA;3000132013
300013;2014-12-01;3001;99;99;99;99;29.1;1020;99;99;13;1020;KA;3000132014
300013;2015-12-01;3001;99;99;99;99;27.6;1020;99;99;12;1020;KA;3000132015
300013;2016-12-01;3001;99;99;99;99;27.4;1020;99;99;12;1020;KA;3000132016
300013;2017-12-01;3001;99;99;99;99;27.2;1020;99;99;10.8;1020;KA;3000132017
300013;2018-12-01;3001;99;99;99;99;27.4;1020;99;99;10.9;1020;KA;3000132018
300013;2019-12-01;3001;99;99;99;99;25.4;1020;99;99;9.1;1020;KA;3000132019
300013;2020-12-01;3001;99;99;99;99;26.1;1020;99;99;8.2;1020;KA;3000132020
300013;2021-12-01;3001;99;99;99;99;99;99;99;99;10.2;1021;KA;3000132021
300021;1980-12-01;3001;99;99;99;99;25.3;2080;99;99;99;99;KA;3000211980
300021;1983-12-01;3001;99;99;99;99;35.8;2083;99;99;99;99;KA;3000211983
300021;1985-12-01;3001;99;99;99;99;37.1;2085;99;99;99;99;KA;3000211985
300021;1990-12-01;3001;99;99;99;99;44;2090;99;99;99;99;KA;3000211990
300022;1992-12-01;3001;99;99;99;99;42.4;2092;99;99;99;99;KA;3000221992
300022;1993-12-01;3001;99;99;99;99;42.3;2093;99;99;30;1008;KA;3000221993
300022;1994-12-01;3001;99;99;99;99;41.3;2094;99;99;31;1008;KA;3000221994
300022;1995-12-01;3001;99;99;99;99;45.5;2095;99;99;36;1008;KA;3000221995
300022;1996-12-01;3001;99;99;99;99;45.4;2096;99;99;36;1008;KA;3000221996
300022;1997-12-01;3001;99;99;99;99;46.9;2097;99;99;37;1008;KA;3000221997
300022;1998-12-01;3001;99;99;99;99;46.6;2098;99;99;36;1008;KA;3000221998
300022;1999-12-01;3001;99;99;99;99;46.2;2099;99;99;34;1008;KA;3000221999
300022;2000-12-01;3001;99;99;99;99;46.7;2000;99;99;33;1020;KA;3000222000
300022;2001-12-01;3001;99;99;99;99;47.6;1004;99;99;32;1011;KA;3000222001
300022;2002-12-01;3001;99;99;99;99;49.2;1002;99;99;32;1011;KA;3000222002
300022;2003-12-01;3001;99;99;99;99;47.6;1004;99;99;30;1011;KA;3000222003
300022;2004-12-01;3001;99;99;99;99;47.4;1004;99;99;30;1011;KA;3000222004
300022;2005-12-01;3001;99;99;99;99;45.9;2005;99;99;28;1020;KA;3000222005
300022;2006-12-01;3001;99;99;99;99;44.1;2006;99;99;27;1016;KA;3000222006
300022;2007-12-01;3001;99;99;99;99;40.8;2007;99;99;26;1018;KA;3000222007
300022;2008-12-01;3001;99;99;99;99;40.4;2008;99;99;25;1019;KA;3000222008
300022;2009-12-01;3001;99;99;99;99;38.4;1019;99;99;24;1019;KA;3000222009
300022;2010-12-01;3001;99;99;99;99;38.8;1020;99;99;23;1020;KA;3000222010
300022;2011-12-01;3001;99;99;99;99;39.1;1020;99;99;23;1020;KA;3000222011
300022;2012-12-01;3001;99;99;99;99;39;1020;99;99;22;1020;KA;3000222012
300022;2013-12-01;3001;99;99;99;99;38;1020;99;99;22;1020;KA;3000222013
300022;2014-12-01;3001;99;99;99;99;37.5;1020;99;99;20;1020;KA;3000222014
300022;2015-12-01;3001;99;99;99;99;37.6;1020;99;99;21;1020;KA;3000222015
300022;2016-12-01;3001;99;99;99;99;37.9;1020;99;99;21;1020;KA;3000222016
300022;2017-12-01;3001;99;99;99;99;38.7;1020;99;99;20.6;1020;KA;3000222017
300022;2018-12-01;3001;99;99;99;99;37.8;1020;99;99;19.3;1020;KA;3000222018
300022;2019-12-01;3001;99;99;99;99;39.1;1020;99;99;19.8;1020;KA;3000222019
300022;2020-12-01;3001;99;99;99;99;43.7;1020;99;99;22;1020;KA;3000222020
300022;2021-12-01;3001;99;99;99;99;99;99;99;99;22.1;1021;KA;3000222021
300030;2002-12-01;3018;99;99;99;99;99;99;99;99;99;99;KA;3000302002
300030;2003-12-01;3018;99;99;99;99;99;99;99;99;99;99;KA;3000302003
300030;2004-12-01;3018;99;99;99;99;99;99;99;99;99;99;KA;3000302004
300040;2011-12-01;3001;99;99;99;99;99;99;99;99;0;1020;KA;3000402011
300040;2012-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000402012
300040;2013-12-01;3001;99;99;99;99;99;99;99;99;1;1020;KA;3000402013
300040;2014-12-01;3001;99;99;99;99;99;99;99;99;1;1020;KA;3000402014
300040;2015-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000402015
300040;2016-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000402016
300040;2017-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000402017
300040;2018-12-01;3001;99;99;99;99;99;99;99;99;2.2;1020;KA;3000402018
300040;2019-12-01;3001;99;99;99;99;99;99;99;99;2.3;1020;KA;3000402019
300040;2020-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000402020
300040;2021-12-01;3001;99;99;99;99;99;99;99;99;0;1021;KA;3000402021
300050;2006-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502006
300050;2007-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502007
300050;2008-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502008
300050;2009-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502009
300050;2010-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502010
300050;2011-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502011
300050;2012-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502012
300050;2013-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502013
300050;2014-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502014
300050;2015-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502015
300050;2016-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502016
300050;2017-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502017
300050;2018-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502018
300050;2019-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502019
300050;2020-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502020
300050;2021-12-01;3001;99;99;99;99;99;99;99;99;99;99;KA;3000502021
300060;1993-12-01;3001;99;99;99;99;99;99;99;99;1;1008;KA;3000601993
300060;1994-12-01;3001;99;99;99;99;99;99;99;99;1;1008;KA;3000601994
300060;1995-12-01;3001;99;99;99;99;99;99;99;99;1;1008;KA;3000601995
300060;1996-12-01;3001;99;99;99;99;99;99;99;99;1;1008;KA;3000601996
300060;1997-12-01;3001;99;99;99;99;99;99;99;99;1;1008;KA;3000601997
300060;1998-12-01;3001;99;99;99;99;0.8;2098;99;99;1;1008;KA;3000601998
300060;1999-12-01;3001;99;99;99;99;1;2099;99;99;1;1008;KA;3000601999
300060;2000-12-01;3001;99;99;99;99;1.1;2000;99;99;1;1020;KA;3000602000
300060;2001-12-01;3001;99;99;99;99;99;99;99;99;1;1011;KA;3000602001
300060;2002-12-01;3001;99;99;99;99;99;99;99;99;1;1011;KA;3000602002
300060;2003-12-01;3001;99;99;99;99;99;99;99;99;1;1011;KA;3000602003
300060;2004-12-01;3001;99;99;99;99;99;99;99;99;1;1011;KA;3000602004
300060;2005-12-01;3001;99;99;99;99;99;99;99;99;1;1020;KA;3000602005
300060;2006-12-01;3001;99;99;99;99;99;99;99;99;1;1016;KA;3000602006
300060;2007-12-01;3001;99;99;99;99;99;99;99;99;2;1018;KA;3000602007
300060;2008-12-01;3001;99;99;99;99;99;99;99;99;2;1019;KA;3000602008
300060;2009-12-01;3001;99;99;99;99;99;99;99;99;2;1019;KA;3000602009
300060;2010-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602010
300060;2011-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602011
300060;2012-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602012
300060;2013-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602013
300060;2014-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602014
300060;2015-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602015
300060;2016-12-01;3001;99;99;99;99;99;99;99;99;2;1020;KA;3000602016
300060;2017-12-01;3001;99;99;99;99;99;99;99;99;1.7;1020;KA;3000602017
300060;2018-12-01;3001;99;99;99;99;99;99;99;99;1.6;1020;KA;3000602018
300060;2019-12-01;3001;99;99;99;99;99;99;99;99;1.5;1020;KA;3000602019
300060;2020-12-01;3001;99;99;99;99;99;99;99;99;1.5;1020;KA;3000602020
300060;2021-12-01;3001;99;99;99;99;99;99;99;99;1.4;1021;KA;3000602021
300100;2007-12-01;99;99;99;99;99;99;99;99;99;99;99;KA;3001002007
300100;2008-12-01;99;99;99;99;99;99;99;99;99;99;99;KA;3001002008
300100;2009-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002009
300100;2010-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002010
300100;2011-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002011
300100;2012-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002012
300100;2013-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002013
300100;2014-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002014
300100;2015-12-01;3010;99;99;99;99;99;99;99;99;99;99;KA;3001002015
300100;2019-12-01;3026;99;99;99;99;99;99;99;99;99;99;KA;3001002019
300100;2020-12-01;3026;99;99;99;99;99;99;99;99;99;99;KA;3001002020
300100;2021-12-01;3026;99;99;99;99;99;99;99;99;99;99;KA;3001002021
300200;1999-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002001999
300200;2000-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002000
300200;2001-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002001
300200;2002-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002002
300200;2003-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002003
300200;2004-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002004
300200;2006-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002006
300200;2007-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002007
300200;2008-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002002008
300210;2009-12-01;3013;99;99;99;99;99;99;99;99;99;99;KA;3002102009
300210;2010-12-01;3013;99;99;99;99;99;99;99;99;0;1020;KA;3002102010
300210;2011-12-01;3013;99;99;99;99;99;99;99;99;1;1020;KA;3002102011
300210;2012-12-01;3017;99;99;99;99;99;99;99;99;1;1020;KA;3002102012
300210;2013-12-01;3017;99;99;99;99;99;99;99;99;2;1020;KA;3002102013
300210;2014-12-01;3017;99;99;99;99;99;99;99;99;2;1020;KA;3002102014
300210;2015-12-01;3017;99;99;99;99;99;99;99;99;2;1020;KA;3002102015
300210;2016-12-01;3008;99;99;99;99;99;99;99;99;2;1020;KA;3002102016
300210;2017-12-01;3008;99;99;99;99;99;99;99;99;2.1;1020;KA;3002102017
300210;2018-12-01;3008;99;99;99;99;99;99;99;99;2.4;1020;KA;3002102018
300210;2019-12-01;3008;99;99;99;99;99;99;99;99;3;1020;KA;3002102019
300210;2020-12-01;3008;99;99;99;99;99;99;99;99;3.4;1020;KA;3002102020
300210;2021-12-01;3008;99;99;99;99;99;99;99;99;3.7;1021;KA;3002102021
300231;2000-12-01;3019;99;99;99;99;99;99;99;99;0;1011;KA;3002312000
300231;2001-12-01;3019;99;99;99;99;99;99;99;99;1;1011;KA;3002312001
300231;2002-12-01;3002;99;99;99;99;99;99;99;99;0;1011;KA;3002312002
300232;2003-12-01;3019;99;99;99;99;99;99;99;99;1;1011;KA;3002322003
300232;2004-12-01;3019;99;99;99;99;9.3;1004;99;99;2;1011;KA;3002322004
300232;2005-12-01;3019;99;99;99;99;10.5;1006;99;99;2;1020;KA;3002322005
300233;2006-12-01;3019;99;99;99;99;11.6;2006;99;99;3;1016;KA;3002332006
300233;2007-12-01;3019;99;99;99;99;12.3;1008;99;99;3;1018;KA;3002332007
300233;2008-12-01;3002;99;99;99;99;13.5;1008;99;99;3;1019;KA;3002332008
300233;2009-12-01;3002;99;99;99;99;14.7;1010;99;99;4;1019;KA;3002332009
300233;2010-12-01;3002;99;99;99;99;15;1010;99;99;4;1020;KA;3002332010
300233;2011-12-01;3002;99;99;99;99;99;99;99;99;4;1020;KA;3002332011
300233;2012-12-01;3002;99;99;99;99;99;99;99;99;3;1020;KA;3002332012
300233;2013-12-01;3002;99;99;99;99;99;99;99;99;3;1020;KA;3002332013
300233;2014-12-01;3002;99;99;99;99;99;99;99;99;3;1020;KA;3002332014
300233;2015-12-01;3002;99;99;99;99;99;99;99;99;3;1020;KA;3002332015
300233;2016-12-01;3002;99;99;99;99;99;99;99;99;3;1020;KA;3002332016
300233;2017-12-01;3027;99;99;99;99;99;99;99;99;3.3;1020;KA;3002332017
300233;2018-12-01;3002;99;99;99;99;99;99;99;99;3.3;1020;KA;3002332018
300233;2019-12-01;3002;99;99;99;99;99;99;99;99;3.5;1020;KA;3002332019
300233;2020-12-01;3002;99;99;99;99;99;99;99;99;3.2;1020;KA;3002332020
300233;2021-12-01;3002;99;99;99;99;99;99;99;99;3;1021;KA;3002332021
300240;2011-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402011
300240;2012-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402012
300240;2013-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402013
300240;2014-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402014
300240;2015-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402015
300240;2016-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402016
300240;2018-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402018
300240;2019-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402019
300240;2020-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402020
300240;2021-12-01;3002;99;99;99;99;99;99;99;99;99;99;KA;3002402021
300240;2017-12-01;3027;99;99;99;99;99;99;99;99;99;99;KA;3002402017
300251;2007-12-01;3020;99;99;99;99;99;99;99;99;99;99;KA;3002512007
300252;2008-12-01;3014;99;99;99;99;99;99;99;99;1;1019;KA;3002522008
300252;2009-12-01;3014;99;99;99;99;99;99;99;99;2;1019;KA;3002522009
300252;2010-12-01;3014;99;99;99;99;99;99;99;99;3;1020;KA;3002522010
300252;2011-12-01;3014;99;99;99;99;99;99;99;99;3;1020;KA;3002522011
300252;2012-12-01;3004;99;99;99;99;99;99;99;99;3;1020;KA;3002522012
300252;2013-12-01;3004;99;99;99;99;99;99;99;99;4;1020;KA;3002522013
300252;2014-12-01;3004;99;99;99;99;99;99;99;99;4;1020;KA;3002522014
300252;2015-12-01;3004;99;99;99;99;99;99;99;99;3;1020;KA;3002522015
300252;2016-12-01;3005;99;99;99;99;99;99;99;99;3;1020;KA;3002522016
300252;2017-12-01;3005;99;99;99;99;99;99;99;99;3;1020;KA;3002522017
300252;2018-12-01;3004;99;99;99;99;99;99;99;99;3.3;1020;KA;3002522018
300252;2019-12-01;3004;99;99;99;99;99;99;99;99;3.4;1020;KA;3002522019
300252;2020-12-01;3004;99;99;99;99;99;99;99;99;3.3;1020;KA;3002522020
300252;2021-12-01;3004;99;99;99;99;99;99;99;99;3.1;1021;KA;3002522021
300260;2019-12-01;3004;99;99;99;99;99;99;99;99;99;99;KA;3002602019
300260;2020-12-01;3004;99;99;99;99;99;99;99;99;99;99;KA;3002602020
300260;2021-12-01;3004;99;99;99;99;99;99;99;99;99;99;KA;3002602021
300270;1993-12-01;99;99;99;99;99;7.3;2093;99;99;5;1008;KA;3002701993
300270;1994-12-01;99;99;99;99;99;8.5;2094;99;99;6;1008;KA;3002701994
300270;1995-12-01;99;99;99;99;99;8.5;2095;99;99;5;1008;KA;3002701995
300270;1996-12-01;99;99;99;99;99;8.7;2096;99;99;5;1008;KA;3002701996
300270;1997-12-01;99;99;99;99;99;9;2097;99;99;6;1008;KA;3002701997
300271;1998-12-01;99;99;99;99;99;8.5;2098;99;99;6;1008;KA;3002711998
300271;1999-12-01;3023;99;99;99;99;8.7;2099;99;99;5;1008;KA;3002711999
300271;2000-12-01;3015;99;99;99;99;8.3;2000;99;99;5;1020;KA;3002712000
300271;2001-12-01;3015;99;99;99;99;3.6;2001;99;99;5;1011;KA;3002712001
300271;2002-12-01;3015;99;99;99;99;8.1;2002;99;99;5;1011;KA;3002712002
300271;2003-12-01;3015;99;99;99;99;8.4;2003;99;99;5;1011;KA;3002712003
300271;2004-12-01;3015;99;99;99;99;8.8;2004;99;99;5;1011;KA;3002712004
300271;2005-12-01;3015;99;99;99;99;8.4;2005;99;99;4;1020;KA;3002712005
300271;2006-12-01;3015;99;99;99;99;8.7;2006;99;99;4;1016;KA;3002712006
300271;2007-12-01;3015;99;99;99;99;10.2;2007;99;99;5;1018;KA;3002712007
300271;2008-12-01;3015;99;99;99;99;11.7;2008;99;99;5;1019;KA;3002712008
300271;2009-12-01;3015;99;99;99;99;14.7;1010;99;99;5;1019;KA;3002712009
300271;2010-12-01;3015;99;99;99;99;15;1010;99;99;5;1020;KA;3002712010
300271;2011-12-01;3015;99;99;99;99;99;99;99;99;5;1020;KA;3002712011
300271;2012-12-01;3004;99;99;99;99;99;99;99;99;5;1020;KA;3002712012
300271;2013-12-01;3004;99;99;99;99;99;99;99;99;5;1020;KA;3002712013
300271;2014-12-01;3004;99;99;99;99;99;99;99;99;5;1020;KA;3002712014
300271;2015-12-01;3004;99;99;99;99;99;99;99;99;5;1020;KA;3002712015
300271;2016-12-01;3004;99;99;99;99;99;99;99;99;5;1020;KA;3002712016
300271;2017-12-01;3004;99;99;99;99;99;99;99;99;4.1;1020;KA;3002712017
300271;2018-12-01;3004;99;99;99;99;99;99;99;99;4;1020;KA;3002712018
300271;2019-12-01;3004;99;99;99;99;99;99;99;99;3;1020;KA;3002712019
300271;2020-12-01;3004;99;99;99;99;99;99;99;99;3.2;1020;KA;3002712020
300271;2021-12-01;3004;99;99;99;99;99;99;99;99;2.7;1021;KA;3002712021
300280;1993-12-01;99;99;99;99;99;7.7;2093;99;99;6;1008;KA;3002801993
300280;1994-12-01;99;99;99;99;99;8.6;2094;99;99;6;1008;KA;3002801994
300280;1995-12-01;99;99;99;99;99;8.4;2095;99;99;6;1008;KA;3002801995
300280;1996-12-01;99;99;99;99;99;7.3;2096;99;99;5;1008;KA;3002801996
300280;1997-12-01;99;99;99;99;99;6.8;2097;99;99;5;1008;KA;3002801997
300280;1998-12-01;99;99;99;99;99;6.4;2098;99;99;5;1008;KA;3002801998
